Company,Sector,Unit,Year,UF,Ecoregion,Biome,River_Basin,Area_ha,FB_dolar,GEE_tCO2e_ano,Energ_tep-year,Water_m3,IIr,IIg,IIa,IIe,IIoa,IIB,BCA_min,BCA_achieved,Mitigation
HP1,Hidro,HP1.01,2011,MG,Cerrado,Cerrado,RB.Parana,44924,557073740,356381,31242,105492,3,279,7,141,752,237,170738,339193,199%
HP1,Hidro,HP1.02,2011,MG,Cerrado,Cerrado,RB.Parana,57600,1302023330,832954,73021,246563,7,475,17,278,795,315,246167,0,0%
HP1,Hidro,HP1.03,2011,MG,Cerrado,Cerrado,RB.Parana,7335,50245867,32144,2818,9515,0,34,1,15,331,76,52746,0,0%
HP1,Hidro,HP1.04,2011,MG,Cerrado,Cerrado,RB.Parana,172,56799675,36337,3185,10756,0,38,1,17,11,13,26378,2323,9%
HP1,Hidro,HP1.05,2011,MG,Cerrado,Cerrado,RB.Parana,3460,463135815,296286,25974,87704,3,244,6,120,189,112,118380,0,0%
HP1,Hidro,HP1.06,2011,MG,Cerrado,Cerrado,RB.Parana,70329,1867835482,1194925,104754,353710,10,565,25,356,826,356,288012,0,0%
HP1,Hidro,HP1.07,2011,MG,Cerrado,Cerrado,RB.Parana,5186,445658992,285105,24994,84394,3,237,6,116,259,124,122039,36278,30%
HP1,Hidro,HP1.08,2011,MG,Cerrado,Cerrado,RB.Parana,20500,415074552,265539,23279,78602,2,224,6,109,580,184,141142,25882,18%
HP1,Hidro,HP1.09,2011,MG,Cerrado,Cerrado,RB.Parana,5023,229383305,146745,12864,43438,1,138,3,63,253,92,88633,0,0%
HP1,Hidro,HP1.10,2011,MG,Cerrado,Cerrado,RB.Parana,3732,266164239,170275,14927,50403,2,168,4,75,633,176,142346,0,0%
HP1,Hidro,HP1.11,2011,MG,Fl.Int.Par.Paran,Mat.Atlantica,RB.Parana,9022,230988988,147772,12954,43742,1,149,3,66,724,235,157707,0,0%
HP1,Hidro,HP1.12,2011,MG,Fl.Int.Bahia,Mat.Atlantica,RB.Atl.SE,576,111414748,71276,6248,21098,1,72,2,32,251,72,64757,0,0%
HP1,Hidro,HP1.13,2011,MG,Cerrado,Cerrado,RB.Atl.Leste,14295,393228523,251563,22053,74465,2,215,16,104,490,165,132808,227679,171%
HP1,Hidro,HP1.14,2011,MG,Fl.Int.Bahia,Mat.Atlantica,RB.Parana,4265,196614261,125782,11027,37233,1,120,3,55,800,196,116614,0,0%
HP1,Hidro,HP1.15,2011,ES,Fl.Int.Bahia,Mat.Atlantica,RB.Atl.SE,191,60076580,38433,3369,11377,0,40,1,17,152,42,43425,0,0%
HP1,Hidro,HP1.16,2011,MG,Fl.Int.Bahia,Mat.Atlantica,RB.Atl.SE,150,85199513,54505,4778,16134,0,56,2,25,124,41,47571,0,0%
HP1,Hidro,HP1.17,2011,MG,Fl.Int.Bahia,Mat.Atlantica,RB.Atl.SE,3290,360459479,230600,20216,68260,2,200,7,96,756,212,143822,0,0%
HP1,Hidro,HP1.18,2011,MG,Fl.Int.Bahia,Mat.Atlantica,RB.Atl.SE,17,122337763,78264,6861,23167,1,78,2,35,16,26,43828,0,0%
HP1,Hidro,HP1.19,2011,MG,Cerrado,Cerrado,RB.S.Francisco,109000,432551375,276720,24259,81912,2,231,7,113,880,247,161516,0,0%
HP1,Hidro,HP1.20,2011,MG,Cerrado,Cerrado,RB.S.Francisco,3943,114691652,73373,6432,21719,1,74,2,33,210,64,62261,0,0%
HP2,Hidro,HP2.01,2011,RS,Campos.Sulinos,Pampa,RB.Uruguai,15200,64488676,743,28944,151871,26,1,24,132,922,221,88789,5677,6%
HP2,Hidro,HP2.02,2011,RS/SC,Fl.Int.Par.Paran,Mat.Atlantica,RB.Uruguai,14100,413754777,127,185704,974392,147,0,134,495,892,333,180910,206607,114%
HP2,Hidro,HP2.03,2011,RS/SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,7900,325296859,1229,146002,766074,119,1,109,435,881,309,163410,7434,5%
HP2,Hidro,HP2.04,2011,PR,Fl.Int.Par.Paran,Mat.Atlantica,RB.Parana,5600,307605275,1191,138061,724410,113,1,49,421,766,270,151951,0,0%
HP2,Hidro,HP2.05,2011,PR,Fl.Int.Par.Paran,Mat.Atlantica,RB.Parana,21000,405194333,432,181862,954233,144,0,64,489,924,324,177767,0,0%
HP2,Hidro,HP2.06,2011,MT/MS,Cerrado,Cerrado,RB.Paraguai,1900,50249804,99,22553,118338,20,0,3,106,113,49,43703,665640,1523%
HP2,Hidro,HP2.07,2011,GO,Cerrado,Cerrado,RB.Tocantins,13900,128406655,82,57632,302398,51,0,4,233,483,154,93226,1176,1%
HP2,Hidro,HP2.08,2011,TO,Cerrado,Cerrado,RB.Tocantins,10400,69396663,89,31147,163429,28,0,2,141,412,117,69349,4531,7%
HP2,Hidro,HP2.09,2011,TO/MA,Cerrado,Cerrado,RB.Tocantins,59000,310173408,44,139214,730458,114,0,10,423,799,269,152137,7349,5%
FC1,Flor/Ind,FC1.01,2011,SP,Fl.Cost.SM,Mat.Atlantica,RB.Parana,7,185110147,37677,13094,134225,177,39,10,65,11,60,69813,0,0%
FC1,Flor/Ind,FC1.02,2011,SP,Fl.Cost.SM,Mat.Atlantica,RB.Parana,13,185110147,37677,13094,134225,177,39,10,65,20,62,70695,0,0%
FC1,Flor/Ind,FC1.03,2011,SP,Fl.Cost.SM,Mat.Atlantica,RB.Parana,13,87110658,17730,6162,63165,92,19,4,31,20,33,43754,0,0%
FC1,Flor/Ind,FC1.04,2011,RS,Campos.Sulinos,Pampa,RB.Atl.Sul,8,43555329,8865,3081,31582,48,10,8,16,6,18,27344,0,0%
FC1,Flor/Ind,FC1.05,2011,PE,Fl.Cost.PE,Mat.Atlantica,RB.At.NE.Or,9,43555329,8865,3081,31582,48,10,50,16,93,43,39960,0,0%
FC1,Flor/Ind,FC1.06,2011,PB,Fl.Int.PE,Mat.Atlantica,RB.At.NE.Or,8,39199796,7979,2773,28424,44,9,45,14,82,39,37004,0,0%
FF1,Flor,FF1.01,2011,RS,Campos.Sulinos,Pampa,RB.Atl.Sul,19864,246858962,50245,57632,1200863,330,52,241,233,939,359,160654,6508,4%
FF1,Flor,FF1.02,2011,SP,Cerrado,Cerrado,RB.Parana,36068,137995693,28087,32217,671290,216,30,46,145,708,229,112359,48844,43%
FF1,Flor,FF1.03,2011,SP,Cerrado,Cerrado,RB.Parana,40008,186294186,37918,43493,906241,271,40,61,186,729,257,128761,49313,38%
FF1,Flor,FF1.04,2011,SP,Cerrado,Cerrado,RB.Parana,33191,145662121,29647,34006,708584,225,31,48,152,691,229,114247,28657,25%
FF1,Flor,FF1.05,2011,MG,Cerrado,Cerrado,RB.Parana,57134,283657814,57735,66223,1379873,361,59,90,259,804,314,158223,344663,218%
FC2,Flor/Ind,FC2.01,2011,BA,Caatinga,Caatinga,RB.Atl.Leste,13,20811059,32326,8959,675093,35,34,126,45,2,48,33797,0,0%
FC2,Flor/Ind,FC2.02,2011,MG,Fl.Int.Bahia,Mat.Atlantica,RB.S.Francisco,7,37227055,57824,16025,1207613,61,59,94,78,7,60,43698,0,0%
FC2,Flor/Ind,FC2.03,2011,PE,Fl.Int.PE,Mat.Atlantica,RB.At.NE.Or,15,17205782,26726,7407,558141,29,28,482,38,112,138,49630,0,0%
FC2,Flor/Ind,FC2.04,2011,RS,Campos.Sulinos,Pampa,RB.Atl.Sul,7,40329309,62643,17361,1308248,66,64,257,84,5,95,54377,0,0%
FC2,Flor/Ind,FC2.05,2011,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,85,3131452,4864,1348,101582,5,5,16,7,74,22,13878,0,0%
FC2,Flor/Ind,FC2.06,2011,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,19,14233874,22109,6127,461735,24,23,68,31,17,33,25759,0,0%
FC2,Flor/Ind,FC2.07,2011,SP,Fl.Cost.SM,Mat.Atlantica,RB.Parana,30,8729860,13560,3758,283189,15,15,20,19,46,23,19237,0,0%
FC2,Flor/Ind,FC2.08,2011,SP,Fl.Int.Par.Paran,Mat.Atlantica,RB.Parana,7,40086362,62266,17256,1300367,66,63,85,83,4,60,44819,0,0%
FF2,Flor,FF2.01,2011,PR,Fl.Araucaria,Mat.Atlantica,RB.Parana,277635,1138030939,1767688,489891,36916738,666,658,725,721,996,753,341633,2282174,668%
FF2,Flor,FF2.02,2011,SC,Fl.Cost.SM,Mat.Atlantica,RB.Atl.Sul,25600,104934868,162994,45172,3403996,155,151,473,192,976,390,129736,12663,10%
FF2,Flor,FF2.03,2011,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,129084,529118946,821873,227771,17164160,481,472,732,545,992,645,256254,287393,112%
FF2,Flor,FF2.04,2011,SP,Fl.Int.Par.Paran,Mat.Atlantica,RB.Parana,8745,35845054,55678,15430,1162783,59,57,77,75,836,221,74861,9521,13%
AG1,Agrop/Alim,AG1.01,2011,GO,Cerrado,Cerrado,RB.Parana,107,470633516,121646,22291,2138735,45,117,133,105,7,81,103860,651,1%
AG1,Agrop/Alim,AG1.02,2011,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,533,10025194,2591,475,45558,1,3,7,2,333,69,31801,1340,4%
AG1,Agrop/Alim,AG1.03,2011,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,533,466474431,120571,22094,2119834,45,116,252,104,333,170,141176,1340,1%
AG1,Agrop/Alim,AG1.04,2011,PR,Cerrado,Cerrado,RB.Parana,1704,947130176,244808,44859,4304114,87,210,235,191,103,165,171319,1508,1%
AG1,Agrop/Alim,AG1.05,2011,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,533,471870247,121966,22349,2144355,45,117,254,105,333,171,141993,1340,1%
AG1,Agrop/Alim,AG1.06,2011,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,1065,957921808,247597,45370,4353155,88,212,409,193,500,280,214581,1896,1%
AG1,Agrop/Alim,AG1.07,2011,PR,Fl.Araucaria,Mat.Atlantica,RB.Parana,852,465672668,120364,22056,2116191,45,116,131,104,444,168,140391,1344,1%
AG1,Agrop/Alim,AG1.08,2011,MS,Cerrado,Cerrado,RB.Parana,76,465237700,120251,22035,2114214,45,116,131,104,5,80,102853,241,0%
AG1,Agrop/Alim,AG1.09,2011,RJ,Fl.Cost.SM,Mat.Atlantica,RB.Atl.SE,12,2527233,653,120,11485,0,1,1,1,19,4,6727,0,0%
AG1,Agrop/Alim,AG1.10,2011,PR,Fl.Araucaria,Mat.Atlantica,RB.Parana,852,470633516,121646,22291,2138735,45,117,133,105,444,169,141087,1344,1%
AG1,Agrop/Alim,AG1.11,2011,RS,Fl.Araucaria,Mat.Atlantica,RB.Atl.Sul,22,470633516,121646,22291,2138735,45,117,361,105,20,130,126301,185,0%
AG1,Agrop/Alim,AG1.12,2011,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,533,4974195,1286,236,22605,1,1,4,1,333,68,25737,1340,5%
AG1,Agrop/Alim,AG1.13,2011,GO,Cerrado,Cerrado,RB.Parana,33,466474431,120571,22094,2119834,45,116,132,104,2,80,102721,103,0%
AG1,Agrop/Alim,AG1.14,2011,RS,Fl.Int.Par.Paran,Mat.Atlantica,RB.Atl.Sul,44,951215422,245864,45053,4322678,87,211,533,192,25,210,189531,267,0%
AG1,Agrop/Alim,AG1.15,2011,MT,Cerrado,Cerrado,RB.Amazonica,625,476844442,123251,22585,2166959,46,118,1,106,40,62,93260,1207,1%
AG1,Agrop/Alim,AG1.16,2011,RS,Fl.Araucaria,Mat.Atlantica,RB.Atl.Sul,66,1425788682,368528,67530,6479317,126,286,631,262,58,273,238026,369,0%
AG1,Agrop/Alim,AG1.17,2011,GO,Cerrado,Cerrado,RB.Parana,13,466474431,120571,22094,2119834,45,116,132,104,1,79,102574,0,0%
AG1,Agrop/Alim,AG1.18,2011,MT,Fl.Sec.Chiquit,Amazonia,RB.Paraguai,625,470633516,121646,22291,2138735,45,117,45,105,656,194,149491,1428,1%
AG1,Agrop/Alim,AG1.19,2011,MT,Cerrado,Cerrado,RB.Amazonica,625,465237700,120251,22035,2114214,45,116,1,104,40,61,91849,1207,1%
AG1,Agrop/Alim,AG1.20,2011,PR,Fl.Cost.SM,Mat.Atlantica,RB.Atl.Sul,852,2962202,766,140,13461,0,1,4,1,576,116,27749,1223,4%
AG1,Agrop/Alim,AG1.21,2011,PR,Cerrado,Cerrado,RB.Parana,852,2527233,653,120,11485,0,1,1,1,54,11,9966,1066,11%
AG1,Agrop/Alim,AG1.22,2011,GO,Cerrado,Cerrado,RB.Parana,4442,473631043,122421,22433,2152357,46,117,133,106,230,126,125207,2567,2%
AG1,Agrop/Alim,AG1.23,2011,RS,Fl.Araucaria,Mat.Atlantica,RB.Atl.Sul,22,465237700,120251,22035,2114214,45,116,358,104,20,129,125436,185,0%
AG1,Agrop/Alim,AG1.24,2011,SP,Fl.Cost.SM,Mat.Atlantica,RB.Parana,16,2527233,653,120,11485,0,1,1,1,25,5,7327,0,0%
AG1,Agrop/Alim,AG1.25,2011,PR,Fl.Araucaria,Mat.Atlantica,RB.Parana,852,478225096,123608,22650,2173234,46,118,134,107,444,170,142146,1344,1%
AG1,Agrop/Alim,AG1.26,2011,MG,Cerrado,Cerrado,RB.Parana,7623,477279410,123364,22606,2168936,46,118,134,106,339,149,134359,2940,2%
AG1,Agrop/Alim,AG1.27,2011,MT,Cerrado,Cerrado,RB.Paraguai,625,466474431,120571,22094,2119834,45,116,45,104,40,70,97281,1207,1%
AG1,Agrop/Alim,AG1.28,2011,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,1598,1410906138,364681,66825,6411685,124,284,505,260,600,355,264998,2322,1%
AG1,Agrop/Alim,AG1.29,2011,PE,Fl.Int.PE,Mat.Atlantica,RB.At.NE.Or,156,2962202,766,140,13461,0,1,22,1,561,117,27810,326,1%
HP1,Hidro,HP1.01,2012,MG,Cerrado,Cerrado,RB.Parana,44924,457094016,385236,58690,95826,13,295,7,236,752,261,167916,339193,202%
HP1,Hidro,HP1.02,2012,MG,Cerrado,Cerrado,RB.Parana,57600,1068345229,900394,137174,223970,31,495,16,420,795,351,243440,0,0%
HP1,Hidro,HP1.03,2012,MG,Cerrado,Cerrado,RB.Parana,7335,41228088,34747,5294,8643,1,36,1,27,331,79,50677,0,0%
HP1,Hidro,HP1.04,2012,MG,Cerrado,Cerrado,RB.Parana,172,46605664,39279,5984,9771,1,41,1,31,11,17,27524,2323,8%
HP1,Hidro,HP1.05,2012,MG,Cerrado,Cerrado,RB.Parana,3460,380015417,320274,48793,79667,11,258,6,205,189,134,120252,0,0%
HP1,Hidro,HP1.06,2012,MG,Cerrado,Cerrado,RB.Parana,70329,1532609348,1291672,196785,321299,43,584,22,509,826,397,284579,0,0%
HP1,Hidro,HP1.07,2012,MG,Cerrado,Cerrado,RB.Parana,5186,365675213,308188,46952,76661,11,251,5,198,259,145,122986,36278,29%
HP1,Hidro,HP1.08,2012,MG,Cerrado,Cerrado,RB.Parana,20500,340579855,287038,43730,71400,138,860,59,889,937,577,446139,25882,6%
HP1,Hidro,HP1.09,2012,MG,Cerrado,Cerrado,RB.Parana,5023,188215183,158626,24167,39458,6,147,3,113,253,104,88341,0,0%
HP1,Hidro,HP1.10,2012,MG,Cerrado,Cerrado,RB.Parana,3732,218394930,184062,28042,45785,6,180,3,137,223,70,114519,0,0%
HP1,Hidro,HP1.11,2012,MG,Fl.Int.Par.Paran,Mat.Atlantica,RB.Parana,9022,189532690,159736,24336,39734,6,160,3,121,466,81,126437,0,0%
HP1,Hidro,HP1.12,2012,MG,Fl.Int.Bahia,Mat.Atlantica,RB.Atl.SE,576,91418803,77047,11738,19165,3,77,1,58,37,35,45520,0,0%
HP1,Hidro,HP1.13,2012,MG,Cerrado,Cerrado,RB.Atl.Leste,14295,322654599,271931,41428,67642,9,228,14,179,490,184,131223,227679,174%
HP1,Hidro,HP1.14,2012,MG,Fl.Int.Bahia,Mat.Atlantica,RB.Parana,4265,161327300,135965,20714,33821,5,129,2,98,800,207,112687,0,0%
HP1,Hidro,HP1.15,2012,ES,Fl.Int.Bahia,Mat.Atlantica,RB.Atl.SE,191,49294453,41545,6329,10334,1,43,1,32,13,18,28699,0,0%
HP1,Hidro,HP1.16,2012,MG,Fl.Int.Bahia,Mat.Atlantica,RB.Atl.SE,150,69908497,58918,8976,14656,2,60,1,45,10,24,35583,0,0%
HP1,Hidro,HP1.17,2012,MG,Fl.Int.Bahia,Mat.Atlantica,RB.Atl.SE,3290,295766716,249270,37976,62005,9,213,4,167,181,115,104916,0,0%
HP1,Hidro,HP1.18,2012,MG,Fl.Int.Bahia,Mat.Atlantica,RB.Atl.SE,17,100381431,84601,12889,21044,3,84,2,64,1,31,44053,0,0%
HP1,Hidro,HP1.19,2012,MG,Cerrado,Cerrado,RB.S.Francisco,109000,354920059,299124,45571,74406,138,860,59,889,937,577,446139,0,0%
HP1,Hidro,HP1.20,2012,MG,Cerrado,Cerrado,RB.S.Francisco,3943,94107592,79313,12083,19729,3,79,1,60,210,71,61365,0,0%
HP2,Hidro,HP2.01,2012,RS,Campos.Sulinos,Pampa,RB.Uruguai,15200,62972801,2992,35104,145099,31,3,23,156,922,227,89190,5677,6%
HP2,Hidro,HP2.02,2012,RS/SC,Fl.Int.Par.Paran,Mat.Atlantica,RB.Uruguai,14100,404029032,135,225225,930944,172,0,129,543,892,347,182710,206607,113%
HP2,Hidro,HP2.03,2012,RS/SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,7900,317650411,6201,177073,731915,140,7,104,483,881,323,165338,7434,4%
HP2,Hidro,HP2.04,2012,PR,Fl.Int.Par.Paran,Mat.Atlantica,RB.Parana,5600,300374687,4993,167443,692109,133,5,47,469,766,284,154140,0,0%
HP2,Hidro,HP2.05,2012,PR,Fl.Int.Par.Paran,Mat.Atlantica,RB.Parana,21000,395669811,3126,220565,911683,169,3,61,538,924,339,179847,0,0%
HP2,Hidro,HP2.06,2012,MT/MS,Cerrado,Cerrado,RB.Paraguai,1900,49068629,139,27353,113062,25,0,3,126,113,53,45142,665640,1475%
HP2,Hidro,HP2.07,2012,GO,Cerrado,Cerrado,RB.Tocantins,13900,125388320,89,69897,288914,60,0,4,269,483,163,94859,1176,1%
HP2,Hidro,HP2.08,2012,TO,Cerrado,Cerrado,RB.Tocantins,10400,67765421,83,37776,156142,34,0,2,166,412,123,70363,4531,6%
HP2,Hidro,HP2.09,2012,TO/MA,Cerrado,Cerrado,RB.Tocantins,59000,302882454,61,168841,697887,134,0,10,471,799,283,154233,7349,5%
FC1,Flor/Ind,FC1.01,2012,SP,Fl.Cost.SM,Mat.Atlantica,RB.Parana,7,183976981,50280,13583,182732,175,52,13,67,11,63,71254,0,0%
FC1,Flor/Ind,FC1.02,2012,SP,Fl.Cost.SM,Mat.Atlantica,RB.Parana,13,183976981,50280,13583,182732,175,52,13,67,20,65,72109,0,0%
FC1,Flor/Ind,FC1.03,2012,SP,Fl.Cost.SM,Mat.Atlantica,RB.Parana,13,80869003,22101,5970,80322,85,23,6,31,20,33,42640,0,0%
FC1,Flor/Ind,FC1.04,2012,RS,Campos.Sulinos,Pampa,RB.Atl.Sul,8,40434501,11051,2985,40161,45,12,10,15,6,18,26826,0,0%
FC1,Flor/Ind,FC1.05,2012,PE,Fl.Cost.PE,Mat.Atlantica,RB.At.NE.Or,9,40434501,11051,2985,40161,45,12,63,15,93,46,39930,0,0%
FC1,Flor/Ind,FC1.06,2012,PB,Fl.Int.PE,Mat.Atlantica,RB.At.NE.Or,8,36391051,9946,2687,36145,40,11,57,14,60,36,35267,0,0%
